Group,Subject_Number,Subject,Timepoint,Elapsed_Minutes,Source_Sheet,Date,Time,Phase,Recording,Alarms,f,TVb,MVb,Penh,PAU,Rpef,Comp,PIFb,PEFb,Ti,Te,EF50,EIP,EEP,Tr,TB,TP,Tbody,Tc,RH,Rinx,BFCF
a,9,9a,7.5,7.487866666666666,9a_WBPth,2025-12-17,10:03:14.329000,Toxicity,Original,,70.12834930419922,1.7401738166809082,122.11219787597656,1.7894529104232788,1.5310189723968506,0.26907479763031,11.153897285461426,7.151908874511719,6.785239219665527,0.4256829023361206,0.4319203495979309,0.5606151223182678,10.904512405395508,38.36417770385742,0.1783998906612396,8.772726058959961,27.419652938842773,37.0,25.0,30.0,0.0,
b,2,2b,2.5,2.5087,2b_WBPth,2025-12-17,10:49:25.615000,Toxicity,Original,,82.5013198852539,2.9480741024017334,243.13204956054688,1.0438792705535889,1.2192946672439575,0.2464480400085449,11.153897285461426,16.507402420043945,10.756457328796388,0.2992544174194336,0.4282293617725372,0.8099989891052246,7.018693447113037,0.0,0.1973363906145095,3.0176172256469727,25.49864387512207,37.0,25.0,30.0,0.0,
b,5,5b,2.5,2.5152666666666668,5b_WBPth,2025-12-17,11:06:10.716000,Toxicity,Original,,87.47989654541016,0.3949161767959595,34.51731491088867,1.7070989608764648,1.4001315832138062,0.233704462647438,11.153897285461426,2.356200218200684,2.563706159591675,0.3112348020076751,0.3770461678504944,0.151286244392395,6.2737016677856445,79.13760375976562,0.1599064469337463,7.382181167602539,28.550853729248047,37.0,25.0,30.0,25.0,
b,6,6b,2.5,2.4903666666666666,6b_WBPth,2025-12-17,11:10:18.940000,Toxicity,Original,,93.2081527709961,2.113281726837158,196.77183532714844,1.1320176124572754,1.1760218143463137,0.290769100189209,11.153897285461426,10.664399147033691,8.819791793823242,0.3062919080257416,0.3393005728721618,0.7191268801689148,6.090225696563721,5.237532138824463,0.1599344313144683,6.452770709991455,22.203617095947266,37.0,25.0,30.0,0.0,
b,7,7b,2.5,2.4838333333333336,7b_WBPth,2025-12-17,11:13:55.079000,Toxicity,Original,,60.00154113769531,2.453763484954834,147.43655395507812,1.8898017406463623,1.7468147277832031,0.1337231397628784,11.153897285461426,9.608237266540527,7.615785598754883,0.4815880060195923,0.5234687328338623,0.5408582091331482,7.023881435394287,0.0,0.1952288448810577,3.702312469482422,32.28334426879883,37.0,25.0,30.0,0.0,
b,8,8b,2.5,2.4873333333333334,8b_WBPth,2025-12-17,11:24:48.763000,Toxicity,Original,,64.04002380371094,2.258365631103516,144.61468505859375,1.0801310539245603,1.1009018421173096,0.353769451379776,11.153897285461426,8.079617500305176,6.007098197937012,0.4826890826225281,0.4544756114482879,0.498241662979126,9.029024124145508,0.0,0.2245818823575973,6.590011596679688,24.36962127685547,37.0,25.0,30.0,0.0,
b,2,2b,4.8,4.8087,2b_WBPth,2025-12-17,10:51:43.615000,Toxicity,Original,,89.78848266601562,4.082588195800781,334.2172546386719,0.9045201539993286,0.914713442325592,0.3867294192314148,11.153897285461426,18.708213806152344,13.439444541931152,0.3699499666690826,0.3634730875492096,1.155633568763733,6.230520248413086,0.0,0.1945927739143371,4.617753028869629,15.721003532409668,37.0,25.0,30.0,0.0,
b,4,4b,4.8,4.79105,4b_WBPth,2025-12-17,11:03:56.018000,Toxicity,Original,,91.91500854492188,1.8691539764404297,171.81448364257812,0.7235257625579834,0.7735756635665894,0.6068607568740845,11.153897285461426,11.81649684906006,10.574895858764648,0.2939086556434631,0.3588827848434448,0.7862045764923096,8.186233520507812,0.0,0.2078005969524383,8.387067794799805,14.449676513671877,37.0,25.0,30.0,0.0,
b,5,5b,4.8,4.8152833333333325,5b_WBPth,2025-12-17,11:08:28.717000,Toxicity,Original,,95.10059356689452,0.5092276334762573,48.55408477783203,2.555306434631348,2.2434773445129395,0.1660741865634918,11.153897285461426,3.1247925758361816,3.268399715423584,0.2927374839782715,0.3416430056095123,0.183594062924385,8.736593246459961,125.89141845703124,0.1121167093515396,6.08868932723999,8.467877388000488,37.0,25.0,30.0,0.0,
b,6,6b,4.8,4.790366666666667,6b_WBPth,2025-12-17,11:12:36.940000,Toxicity,Original,,91.19424438476562,2.206934928894043,201.2074737548828,0.8975740671157837,0.8999627828598022,0.385466456413269,11.153897285461426,9.824607849121094,8.718379974365234,0.3415121138095855,0.316568911075592,0.7414786219596863,8.249402046203613,0.0,0.1721439063549041,10.15644359588623,14.216917991638184,37.0,25.0,30.0,0.0,
b,7,7b,4.8,4.783833333333333,7b_WBPth,2025-12-17,11:16:13.079000,Toxicity,Original,,85.76758575439453,2.46541714668274,211.4117889404297,0.7998514771461487,0.95569908618927,0.3621627390384674,11.153897285461426,12.193242073059082,8.914616584777832,0.3302841782569885,0.3698812425136566,0.712768018245697,8.546587944030762,0.0,0.1950022131204605,8.099775314331055,18.69794464111328,37.0,25.0,30.0,0.0,
b,8,8b,4.8,4.787333333333334,8b_WBPth,2025-12-17,11:27:06.763000,Toxicity,Original,,79.33130645751953,2.092192888259888,165.86117553710938,0.9913591742515564,0.9054074287414552,0.4651605784893036,11.153897285461426,8.541860580444336,8.18423080444336,0.3932949304580688,0.3642651438713074,0.7104048728942871,8.412944793701172,0.0,0.198450818657875,9.032827377319336,16.742740631103516,37.0,25.0,30.0,0.0,
b,9,9b,4.8,4.79145,9b_WBPth,2025-12-17,11:23:04.484000,Toxicity,Original,,89.28890228271484,1.9876402616500848,177.27488708496094,0.9101377725601196,0.8448000550270081,0.3937760293483734,11.153897285461426,8.40615177154541,8.197168350219727,0.3790530860424042,0.2934527695178985,0.6787684559822083,7.994655609130859,0.0,0.1654040962457656,9.366230010986328,17.16332244873047,37.0,25.0,30.0,0.0,
